epoch: 109, step: 5730, time: 23.9, train: 1.197, valid: 1.595, train_acc: 0.972, valid_acc: 0.903
epoch: 110, step: 5783, time: 25.3, train: 1.196, valid: 1.595, train_acc: 0.972, valid_acc: 0.902
epoch: 111, step: 5835, time: 24.7, train: 1.188, valid: 1.619, train_acc: 0.974, valid_acc: 0.901
epoch: 112, step: 5888, time: 25.7, train: 1.186, valid: 1.688, train_acc: 0.974, valid_acc: 0.893
epoch: 113, step: 5940, time: 23.3, train: 1.192, valid: 1.510, train_acc: 0.973, valid_acc: 0.915
epoch: 114, step: 5992, time: 24.5, train: 1.178, valid: 1.612, train_acc: 0.977, valid_acc: 0.901
epoch: 115, step: 6044, time: 23.6, train: 1.185, valid: 1.643, train_acc: 0.975, valid_acc: 0.899
epoch: 116, step: 6097, time: 24.7, train: 1.182, valid: 1.557, train_acc: 0.976, valid_acc: 0.909
epoch: 117, step: 6150, time: 23.2, train: 1.189, valid: 1.655, train_acc: 0.973, valid_acc: 0.895
epoch: 118, step: 6203, time: 25.6, train: 1.182, valid: 1.610, train_acc: 0.976, valid_acc: 0.903
epoch: 119, step: 6256, time: 23.2, train: 1.175, valid: 1.658, train_acc: 0.977, valid_acc: 0.897
epoch: 120, step: 6308, time: 23.7, train: 1.181, valid: 1.516, train_acc: 0.976, valid_acc: 0.919
epoch: 121, step: 6361, time: 26.3, train: 1.182, valid: 1.715, train_acc: 0.976, valid_acc: 0.890
epoch: 122, step: 6414, time: 25.4, train: 1.169, valid: 1.642, train_acc: 0.979, valid_acc: 0.899
epoch: 123, step: 6467, time: 24.1, train: 1.174, valid: 1.662, train_acc: 0.978, valid_acc: 0.896
epoch: 124, step: 6520, time: 26.7, train: 1.175, valid: 1.560, train_acc: 0.977, valid_acc: 0.910
epoch: 125, step: 6573, time: 25.9, train: 1.168, valid: 1.563, train_acc: 0.980, valid_acc: 0.911
epoch: 126, step: 6626, time: 23.9, train: 1.171, valid: 1.624, train_acc: 0.978, valid_acc: 0.904
epoch: 127, step: 6679, time: 23.4, train: 1.174, valid: 1.617, train_acc: 0.978, valid_acc: 0.904
epoch: 128, step: 6731, time: 25.0, train: 1.179, valid: 1.637, train_acc: 0.976, valid_acc: 0.902
epoch: 129, step: 6783, time: 26.1, train: 1.164, valid: 1.546, train_acc: 0.980, valid_acc: 0.915
epoch: 130, step: 6836, time: 26.4, train: 1.167, valid: 1.548, train_acc: 0.980, valid_acc: 0.911
epoch: 131, step: 6889, time: 23.2, train: 1.164, valid: 1.649, train_acc: 0.980, valid_acc: 0.900
epoch: 132, step: 6942, time: 24.3, train: 1.168, valid: 1.614, train_acc: 0.979, valid_acc: 0.904
epoch: 133, step: 6995, time: 24.4, train: 1.167, valid: 1.632, train_acc: 0.979, valid_acc: 0.902
epoch: 134, step: 7047, time: 24.6, train: 1.167, valid: 1.619, train_acc: 0.980, valid_acc: 0.902
epoch: 135, step: 7100, time: 23.8, train: 1.157, valid: 1.619, train_acc: 0.982, valid_acc: 0.904
epoch: 136, step: 7153, time: 26.5, train: 1.168, valid: 1.611, train_acc: 0.980, valid_acc: 0.905
epoch: 137, step: 7205, time: 25.0, train: 1.161, valid: 1.620, train_acc: 0.981, valid_acc: 0.906
epoch: 138, step: 7258, time: 26.6, train: 1.159, valid: 1.637, train_acc: 0.982, valid_acc: 0.902
